name,display_name,types,image,generation,generation_label,total,hp,attack,defense,sp_atk,sp_def,speed,level,evolution_paths
ekans,Ekans,"[""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/ekans.jpg,generation-i,Generation I,288.0,35.0,60.0,44.0,,,55.0,(Level 22),"[{""evolves_to"": ""Arbok"", ""condition"": ""(Level 22)""}]"
arbok,Arbok,"[""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/arbok.jpg,generation-i,Generation I,448.0,60.0,95.0,69.0,,,80.0,,[]
pikachu,Pikachu,"[""Electric""]",https://img.pokemondb.net/sprites/home/normal/2x/pikachu.jpg,generation-i,Generation I,320.0,35.0,55.0,40.0,,,90.0,,[]
raichu,Raichu,"[""Electric""]",https://img.pokemondb.net/sprites/home/normal/2x/raichu.jpg,generation-i,Generation I,485.0,60.0,90.0,55.0,,,110.0,,[]
sandshrew,Sandshrew,"[""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/sandshrew.jpg,generation-i,Generation I,300.0,50.0,75.0,85.0,,,40.0,(Level 22),"[{""evolves_to"": ""Sandslash"", ""condition"": ""(Level 22)""}]"
sandslash,Sandslash,"[""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/sandslash.jpg,generation-i,Generation I,450.0,75.0,100.0,110.0,,,65.0,,[]
nidoran♀,Nidoran♀,"[""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/nidoran-f.jpg,generation-i,Generation I,275.0,55.0,47.0,52.0,,,41.0,(Level 16),"[{""evolves_to"": ""Nidorina"", ""condition"": ""(Level 16)""}]"
nidorina,Nidorina,"[""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/nidorina.jpg,generation-i,Generation I,365.0,70.0,62.0,67.0,,,56.0,(use Moon Stone),"[{""evolves_to"": ""Nidoqueen"", ""condition"": ""(use Moon Stone)""}]"
nidoqueen,Nidoqueen,"[""Poison"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/nidoqueen.jpg,generation-i,Generation I,505.0,90.0,92.0,87.0,,,76.0,,[]
nidoran♂,Nidoran♂,"[""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/nidoran-m.jpg,generation-i,Generation I,273.0,46.0,57.0,40.0,,,50.0,(Level 16),"[{""evolves_to"": ""Nidorino"", ""condition"": ""(Level 16)""}]"
nidorino,Nidorino,"[""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/nidorino.jpg,generation-i,Generation I,365.0,61.0,72.0,57.0,,,65.0,(use Moon Stone),"[{""evolves_to"": ""Nidoking"", ""condition"": ""(use Moon Stone)""}]"
nidoking,Nidoking,"[""Poison"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/nidoking.jpg,generation-i,Generation I,505.0,81.0,102.0,77.0,,,85.0,,[]
clefairy,Clefairy,"[""Fairy""]",https://img.pokemondb.net/sprites/home/normal/2x/clefairy.jpg,generation-i,Generation I,323.0,70.0,45.0,48.0,,,35.0,(use Moon Stone),"[{""evolves_to"": ""Clefable"", ""condition"": ""(use Moon Stone)""}]"
clefable,Clefable,"[""Fairy""]",https://img.pokemondb.net/sprites/home/normal/2x/clefable.jpg,generation-i,Generation I,483.0,95.0,70.0,73.0,,,60.0,,[]
vulpix,Vulpix,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/vulpix.jpg,generation-i,Generation I,299.0,38.0,41.0,40.0,,,65.0,(use Fire Stone),"[{""evolves_to"": ""Ninetales"", ""condition"": ""(use Fire Stone)""}]"
ninetales,Ninetales,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/ninetales.jpg,generation-i,Generation I,505.0,73.0,76.0,75.0,,,100.0,,[]
jigglypuff,Jigglypuff,"[""Normal"", ""Fairy""]",https://img.pokemondb.net/sprites/home/normal/2x/jigglypuff.jpg,generation-i,Generation I,270.0,115.0,45.0,20.0,,,20.0,(use Moon Stone),"[{""evolves_to"": ""Wigglytuff"", ""condition"": ""(use Moon Stone)""}]"
wigglytuff,Wigglytuff,"[""Normal"", ""Fairy""]",https://img.pokemondb.net/sprites/home/normal/2x/wigglytuff.jpg,generation-i,Generation I,435.0,140.0,70.0,45.0,,,45.0,,[]
zubat,Zubat,"[""Poison"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/zubat.jpg,generation-i,Generation I,245.0,40.0,45.0,35.0,,,55.0,(Level 22),"[{""evolves_to"": ""Golbat"", ""condition"": ""(Level 22)""}]"
golbat,Golbat,"[""Poison"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/golbat.jpg,generation-i,Generation I,455.0,75.0,80.0,70.0,,,90.0,(high Friendship),"[{""evolves_to"": ""Crobat"", ""condition"": ""(high Friendship)""}]"
oddish,Oddish,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/oddish.jpg,generation-i,Generation I,320.0,45.0,50.0,55.0,,,30.0,(Level 21),"[{""evolves_to"": ""Gloom"", ""condition"": ""(Level 21)""}]"
gloom,Gloom,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/gloom.jpg,generation-i,Generation I,395.0,60.0,65.0,70.0,,,40.0,,[]
vileplume,Vileplume,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/vileplume.jpg,generation-i,Generation I,490.0,75.0,80.0,85.0,,,50.0,,[]
paras,Paras,"[""Bug"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/paras.jpg,generation-i,Generation I,285.0,35.0,70.0,55.0,,,25.0,(Level 24),"[{""evolves_to"": ""Parasect"", ""condition"": ""(Level 24)""}]"
parasect,Parasect,"[""Bug"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/parasect.jpg,generation-i,Generation I,405.0,60.0,95.0,80.0,,,30.0,,[]
venonat,Venonat,"[""Bug"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/venonat.jpg,generation-i,Generation I,305.0,60.0,55.0,50.0,,,45.0,(Level 31),"[{""evolves_to"": ""Venomoth"", ""condition"": ""(Level 31)""}]"
venomoth,Venomoth,"[""Bug"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/venomoth.jpg,generation-i,Generation I,450.0,70.0,65.0,60.0,,,90.0,,[]
diglett,Diglett,"[""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/diglett.jpg,generation-i,Generation I,265.0,10.0,55.0,25.0,,,95.0,(Level 26),"[{""evolves_to"": ""Dugtrio"", ""condition"": ""(Level 26)""}]"
dugtrio,Dugtrio,"[""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/dugtrio.jpg,generation-i,Generation I,425.0,35.0,100.0,50.0,,,120.0,,[]
meowth,Meowth,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/meowth.jpg,generation-i,Generation I,290.0,40.0,45.0,35.0,,,90.0,(Level 28),"[{""evolves_to"": ""Persian"", ""condition"": ""(Level 28)""}]"
persian,Persian,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/persian.jpg,generation-i,Generation I,440.0,65.0,70.0,60.0,,,115.0,,[]
psyduck,Psyduck,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/psyduck.jpg,generation-i,Generation I,320.0,50.0,52.0,48.0,,,55.0,(Level 33),"[{""evolves_to"": ""Golduck"", ""condition"": ""(Level 33)""}]"
golduck,Golduck,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/golduck.jpg,generation-i,Generation I,500.0,80.0,82.0,78.0,,,85.0,,[]
mankey,Mankey,"[""Fighting""]",https://img.pokemondb.net/sprites/home/normal/2x/mankey.jpg,generation-i,Generation I,305.0,40.0,80.0,35.0,,,70.0,(Level 28),"[{""evolves_to"": ""Primeape"", ""condition"": ""(Level 28)""}]"
primeape,Primeape,"[""Fighting""]",https://img.pokemondb.net/sprites/home/normal/2x/primeape.jpg,generation-i,Generation I,455.0,65.0,105.0,60.0,,,95.0,(Use Rage Fist 20 times),"[{""evolves_to"": ""Annihilape"", ""condition"": ""(Use Rage Fist 20 times)""}]"
growlithe,Growlithe,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/growlithe.jpg,generation-i,Generation I,350.0,55.0,70.0,45.0,,,60.0,(use Fire Stone),"[{""evolves_to"": ""Arcanine"", ""condition"": ""(use Fire Stone)""}]"
arcanine,Arcanine,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/arcanine.jpg,generation-i,Generation I,555.0,90.0,110.0,80.0,,,95.0,,[]
poliwag,Poliwag,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/poliwag.jpg,generation-i,Generation I,300.0,40.0,50.0,40.0,,,90.0,(Level 25),"[{""evolves_to"": ""Poliwhirl"", ""condition"": ""(Level 25)""}]"
poliwhirl,Poliwhirl,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/poliwhirl.jpg,generation-i,Generation I,385.0,65.0,65.0,65.0,,,90.0,,[]
poliwrath,Poliwrath,"[""Water"", ""Fighting""]",https://img.pokemondb.net/sprites/home/normal/2x/poliwrath.jpg,generation-i,Generation I,510.0,90.0,95.0,95.0,,,70.0,,[]
abra,Abra,"[""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/abra.jpg,generation-i,Generation I,310.0,25.0,20.0,15.0,,,90.0,(Level 16),"[{""evolves_to"": ""Kadabra"", ""condition"": ""(Level 16)""}]"
kadabra,Kadabra,"[""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/kadabra.jpg,generation-i,Generation I,400.0,40.0,35.0,30.0,,,105.0,(Trade),"[{""evolves_to"": ""Alakazam"", ""condition"": ""(Trade)""}]"
alakazam,Alakazam,"[""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/alakazam.jpg,generation-i,Generation I,500.0,55.0,50.0,45.0,,,120.0,,[]
machop,Machop,"[""Fighting""]",https://img.pokemondb.net/sprites/home/normal/2x/machop.jpg,generation-i,Generation I,305.0,70.0,80.0,50.0,,,35.0,(Level 28),"[{""evolves_to"": ""Machoke"", ""condition"": ""(Level 28)""}]"
machoke,Machoke,"[""Fighting""]",https://img.pokemondb.net/sprites/home/normal/2x/machoke.jpg,generation-i,Generation I,405.0,80.0,100.0,70.0,,,45.0,(Trade),"[{""evolves_to"": ""Machamp"", ""condition"": ""(Trade)""}]"
machamp,Machamp,"[""Fighting""]",https://img.pokemondb.net/sprites/home/normal/2x/machamp.jpg,generation-i,Generation I,505.0,90.0,130.0,80.0,,,55.0,,[]
bellsprout,Bellsprout,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/bellsprout.jpg,generation-i,Generation I,300.0,50.0,75.0,35.0,,,40.0,(Level 21),"[{""evolves_to"": ""Weepinbell"", ""condition"": ""(Level 21)""}]"
weepinbell,Weepinbell,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/weepinbell.jpg,generation-i,Generation I,390.0,65.0,90.0,50.0,,,55.0,(use Leaf Stone),"[{""evolves_to"": ""Victreebel"", ""condition"": ""(use Leaf Stone)""}]"
victreebel,Victreebel,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/victreebel.jpg,generation-i,Generation I,490.0,80.0,105.0,65.0,,,70.0,,[]
tentacool,Tentacool,"[""Water"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/tentacool.jpg,generation-i,Generation I,335.0,40.0,40.0,35.0,,,70.0,(Level 30),"[{""evolves_to"": ""Tentacruel"", ""condition"": ""(Level 30)""}]"
tentacruel,Tentacruel,"[""Water"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/tentacruel.jpg,generation-i,Generation I,515.0,80.0,70.0,65.0,,,100.0,,[]
geodude,Geodude,"[""Rock"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/geodude.jpg,generation-i,Generation I,300.0,40.0,80.0,100.0,,,20.0,(Level 25),"[{""evolves_to"": ""Graveler"", ""condition"": ""(Level 25)""}]"
graveler,Graveler,"[""Rock"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/graveler.jpg,generation-i,Generation I,390.0,55.0,95.0,115.0,,,35.0,(Trade),"[{""evolves_to"": ""Golem"", ""condition"": ""(Trade)""}]"
golem,Golem,"[""Rock"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/golem.jpg,generation-i,Generation I,495.0,80.0,120.0,130.0,,,45.0,,[]
ponyta,Ponyta,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/ponyta.jpg,generation-i,Generation I,410.0,50.0,85.0,55.0,,,90.0,(Level 40),"[{""evolves_to"": ""Rapidash"", ""condition"": ""(Level 40)""}]"
rapidash,Rapidash,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/rapidash.jpg,generation-i,Generation I,500.0,65.0,100.0,70.0,,,105.0,,[]
slowpoke,Slowpoke,"[""Water"", ""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/slowpoke.jpg,generation-i,Generation I,315.0,90.0,65.0,65.0,,,15.0,,[]
slowbro,Slowbro,"[""Water"", ""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/slowbro.jpg,generation-i,Generation I,490.0,95.0,75.0,110.0,,,30.0,,[]
magnemite,Magnemite,"[""Electric"", ""Steel""]",https://img.pokemondb.net/sprites/home/normal/2x/magnemite.jpg,generation-i,Generation I,325.0,25.0,35.0,70.0,,,45.0,(Level 30),"[{""evolves_to"": ""Magneton"", ""condition"": ""(Level 30)""}]"
magneton,Magneton,"[""Electric"", ""Steel""]",https://img.pokemondb.net/sprites/home/normal/2x/magneton.jpg,generation-i,Generation I,465.0,50.0,60.0,95.0,,,70.0,"(use Thunder Stone, in Gen 8+, or level up in a Magnetic Field area)","[{""evolves_to"": ""Magnezone"", ""condition"": ""(use Thunder Stone, in Gen 8+, or level up in a Magnetic Field area)""}]"
farfetch'd,Farfetch'd,"[""Normal"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/farfetchd.jpg,generation-i,Generation I,377.0,52.0,90.0,55.0,,,60.0,,
doduo,Doduo,"[""Normal"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/doduo.jpg,generation-i,Generation I,310.0,35.0,85.0,45.0,,,75.0,(Level 31),"[{""evolves_to"": ""Dodrio"", ""condition"": ""(Level 31)""}]"
dodrio,Dodrio,"[""Normal"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/dodrio.jpg,generation-i,Generation I,470.0,60.0,110.0,70.0,,,110.0,,[]
seel,Seel,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/seel.jpg,generation-i,Generation I,325.0,65.0,45.0,55.0,,,45.0,(Level 34),"[{""evolves_to"": ""Dewgong"", ""condition"": ""(Level 34)""}]"
dewgong,Dewgong,"[""Water"", ""Ice""]",https://img.pokemondb.net/sprites/home/normal/2x/dewgong.jpg,generation-i,Generation I,475.0,90.0,70.0,80.0,,,70.0,,[]
grimer,Grimer,"[""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/grimer.jpg,generation-i,Generation I,325.0,80.0,80.0,50.0,,,25.0,(Level 38),"[{""evolves_to"": ""Muk"", ""condition"": ""(Level 38)""}]"
muk,Muk,"[""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/muk.jpg,generation-i,Generation I,500.0,105.0,105.0,75.0,,,50.0,,[]
shellder,Shellder,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/shellder.jpg,generation-i,Generation I,305.0,30.0,65.0,100.0,,,40.0,(use Water Stone),"[{""evolves_to"": ""Cloyster"", ""condition"": ""(use Water Stone)""}]"
cloyster,Cloyster,"[""Water"", ""Ice""]",https://img.pokemondb.net/sprites/home/normal/2x/cloyster.jpg,generation-i,Generation I,525.0,50.0,95.0,180.0,,,70.0,,[]
gastly,Gastly,"[""Ghost"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/gastly.jpg,generation-i,Generation I,310.0,30.0,35.0,30.0,,,80.0,(Level 25),"[{""evolves_to"": ""Haunter"", ""condition"": ""(Level 25)""}]"
haunter,Haunter,"[""Ghost"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/haunter.jpg,generation-i,Generation I,405.0,45.0,50.0,45.0,,,95.0,(Trade),"[{""evolves_to"": ""Gengar"", ""condition"": ""(Trade)""}]"
gengar,Gengar,"[""Ghost"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/gengar.jpg,generation-i,Generation I,500.0,60.0,65.0,60.0,,,110.0,,[]
onix,Onix,"[""Rock"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/onix.jpg,generation-i,Generation I,385.0,35.0,45.0,160.0,,,70.0,(trade holding Metal Coat),"[{""evolves_to"": ""Steelix"", ""condition"": ""(trade holding Metal Coat)""}]"
drowzee,Drowzee,"[""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/drowzee.jpg,generation-i,Generation I,328.0,60.0,48.0,45.0,,,42.0,(Level 26),"[{""evolves_to"": ""Hypno"", ""condition"": ""(Level 26)""}]"
hypno,Hypno,"[""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/hypno.jpg,generation-i,Generation I,483.0,85.0,73.0,70.0,,,67.0,,[]
krabby,Krabby,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/krabby.jpg,generation-i,Generation I,325.0,30.0,105.0,90.0,,,50.0,(Level 28),"[{""evolves_to"": ""Kingler"", ""condition"": ""(Level 28)""}]"
kingler,Kingler,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/kingler.jpg,generation-i,Generation I,475.0,55.0,130.0,115.0,,,75.0,,[]
voltorb,Voltorb,"[""Electric""]",https://img.pokemondb.net/sprites/home/normal/2x/voltorb.jpg,generation-i,Generation I,330.0,40.0,30.0,50.0,,,100.0,(Level 30),"[{""evolves_to"": ""Electrode"", ""condition"": ""(Level 30)""}]"
electrode,Electrode,"[""Electric""]",https://img.pokemondb.net/sprites/home/normal/2x/electrode.jpg,generation-i,Generation I,490.0,60.0,50.0,70.0,,,150.0,,[]
exeggcute,Exeggcute,"[""Grass"", ""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/exeggcute.jpg,generation-i,Generation I,325.0,60.0,40.0,80.0,,,40.0,,[]
exeggutor,Exeggutor,"[""Grass"", ""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/exeggutor.jpg,generation-i,Generation I,530.0,95.0,95.0,85.0,,,55.0,,[]
cubone,Cubone,"[""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/cubone.jpg,generation-i,Generation I,320.0,50.0,50.0,95.0,,,35.0,,[]
marowak,Marowak,"[""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/marowak.jpg,generation-i,Generation I,425.0,60.0,80.0,110.0,,,45.0,,[]
hitmonlee,Hitmonlee,"[""Fighting""]",https://img.pokemondb.net/sprites/home/normal/2x/hitmonlee.jpg,generation-i,Generation I,455.0,50.0,120.0,53.0,,,87.0,,[]
hitmonchan,Hitmonchan,"[""Fighting""]",https://img.pokemondb.net/sprites/home/normal/2x/hitmonchan.jpg,generation-i,Generation I,455.0,50.0,105.0,79.0,,,76.0,,[]
lickitung,Lickitung,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/lickitung.jpg,generation-i,Generation I,385.0,90.0,55.0,75.0,,,30.0,(after Rollout learned),"[{""evolves_to"": ""Lickilicky"", ""condition"": ""(after Rollout learned)""}]"
koffing,Koffing,"[""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/koffing.jpg,generation-i,Generation I,340.0,40.0,65.0,95.0,,,35.0,,[]
weezing,Weezing,"[""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/weezing.jpg,generation-i,Generation I,490.0,65.0,90.0,120.0,,,60.0,,[]
rhyhorn,Rhyhorn,"[""Ground"", ""Rock""]",https://img.pokemondb.net/sprites/home/normal/2x/rhyhorn.jpg,generation-i,Generation I,345.0,80.0,85.0,95.0,,,25.0,(Level 42),"[{""evolves_to"": ""Rhydon"", ""condition"": ""(Level 42)""}]"
rhydon,Rhydon,"[""Ground"", ""Rock""]",https://img.pokemondb.net/sprites/home/normal/2x/rhydon.jpg,generation-i,Generation I,485.0,105.0,130.0,120.0,,,40.0,(trade holding Protector),"[{""evolves_to"": ""Rhyperior"", ""condition"": ""(trade holding Protector)""}]"
chansey,Chansey,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/chansey.jpg,generation-i,Generation I,450.0,250.0,5.0,5.0,,,50.0,(high Friendship),"[{""evolves_to"": ""Blissey"", ""condition"": ""(high Friendship)""}]"
tangela,Tangela,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/tangela.jpg,generation-i,Generation I,435.0,65.0,55.0,115.0,,,60.0,(after Ancient Power learned),"[{""evolves_to"": ""Tangrowth"", ""condition"": ""(after Ancient Power learned)""}]"
kangaskhan,Kangaskhan,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/kangaskhan.jpg,generation-i,Generation I,490.0,105.0,95.0,80.0,,,90.0,,
horsea,Horsea,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/horsea.jpg,generation-i,Generation I,295.0,30.0,40.0,70.0,,,60.0,(Level 32),"[{""evolves_to"": ""Seadra"", ""condition"": ""(Level 32)""}]"
seadra,Seadra,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/seadra.jpg,generation-i,Generation I,440.0,55.0,65.0,95.0,,,85.0,(trade holding Dragon Scale),"[{""evolves_to"": ""Kingdra"", ""condition"": ""(trade holding Dragon Scale)""}]"
goldeen,Goldeen,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/goldeen.jpg,generation-i,Generation I,320.0,45.0,67.0,60.0,,,63.0,(Level 33),"[{""evolves_to"": ""Seaking"", ""condition"": ""(Level 33)""}]"
seaking,Seaking,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/seaking.jpg,generation-i,Generation I,450.0,80.0,92.0,65.0,,,68.0,,[]
staryu,Staryu,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/staryu.jpg,generation-i,Generation I,340.0,30.0,45.0,55.0,,,85.0,(use Water Stone),"[{""evolves_to"": ""Starmie"", ""condition"": ""(use Water Stone)""}]"
